sep=;
25;2;1024;413979;20688;0;0;0usec;0usec;0usec;413979;20688;1802usec;425245usec;2416usec;2;1
25;3;1024;618894;30936;0;0;0usec;0usec;0usec;618894;30936;1800usec;330820usec;2424usec;2;1
1;1;4096;8257;412;0;0;0usec;0usec;0usec;8257;412;2126usec;73758usec;2423usec;0;1
1;2;4096;9314;465;0;0;0usec;0usec;0usec;9314;465;3815usec;70996usec;4294usec;0;1
1;3;4096;13872;693;0;0;0usec;0usec;0usec;13872;693;3829usec;85372usec;4325usec;0;1
2;1;4096;11260;562;0;0;0usec;0usec;0usec;11260;562;2886usec;97751usec;3552usec;0;1
2;2;4096;31339;1566;0;0;0usec;0usec;0usec;31339;1566;2085usec;204004usec;2553usec;0;1
2;3;4096;47775;2387;0;0;0usec;0usec;0usec;47775;2387;2108usec;72644usec;2512usec;0;1
3;1;4096;13662;682;0;0;0usec;0usec;0usec;13662;682;2894usec;206697usec;4392usec;0;1
3;2;4096;24313;1214;0;0;0usec;0usec;0usec;24313;1214;4101usec;1020454usec;4936usec;0;1
3;3;4096;41141;2056;0;0;0usec;0usec;0usec;41141;2056;3787usec;432465usec;4375usec;0;1
4;1;4096;16653;832;0;0;0usec;0usec;0usec;16653;832;4128usec;136566usec;4804usec;0;1
4;2;4096;51162;2556;0;0;0usec;0usec;0usec;51162;2556;2064usec;513295usec;3129usec;2;1
4;3;4096;41778;2087;0;0;0usec;0usec;0usec;41778;2087;4142usec;1223461usec;5747usec;0;1
5;1;4096;22406;1118;0;0;0usec;0usec;0usec;22406;1118;3690usec;333787usec;4463usec;0;1
5;2;4096;46111;2303;0;0;0usec;0usec;0usec;46111;2303;3557usec;232748usec;4337usec;0;1
5;3;4096;117648;5880;0;0;0usec;0usec;0usec;117648;5880;1813usec;133535usec;2550usec;2;1
10;1;4096;36772;1833;0;0;0usec;0usec;0usec;36772;1833;3384usec;165324usec;5439usec;0;1
10;2;4096;157470;7869;0;0;0usec;0usec;0usec;157470;7869;1812usec;180221usec;2540usec;2;1
